artist,caption,date,day_num,description,image_filepath,image_url,location,medium,mystery_name,mystery_type,original_title,original_title_ISO_code,original_title_language,style,subject,title
Alexander Andreyevich Ivanov,"Apparition of the Messiah, an oil painting on canvas, measuring 540 cm × 750 cm, by Russian painter Alexander Andreyevich Ivanov (1806–1858)",1837-1857,174,"Shows John the Baptist preaching and pointing to Christ approaching from distance, with diverse crowd reactions.",June/jpgs/Apparition.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2_-_%D0%AF%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%B0_%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D1%83_%28%D0%AF%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%9C%D0%B5%D1%81%D1%81%D0%B8%D0%B8%29_-_Google_Art_Project.jpg/960px-%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2_-_%D0%AF%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%B0_%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D1%83_%28%D0%AF%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%9C%D0%B5%D1%81%D1%81%D0%B8%D0%B8%29_-_Google_Art_Project.jpg,"Tretyakov Gallery, Moscow",Oil on canvas,The Baptism of Jesus in the Jordan,Luminous,Явление Христа народу,ru,Russian,Russian Neoclassicism,John the Baptist pointing to approaching Christ,The Appearance of Christ Before the People
Paolo Veronese,Wedding at Cana by Paolo Veronese,1563,175,"Depicts the wedding feast where Jesus performs his first miracle, transforming water into wine for guests.",June/jpgs/weddingatcanaveronese.jpg,http://andantemoderato.com/wp-content/uploads/2015/06/Paolo-Veronese-The-Wedding-at-Cana-1024x696.jpg,"Louvre Museum, Paris",Oil on canvas,The Wedding at Cana,Luminous,Nozze di Cana,it,Italian,Renaissance,Christ's first miracle turning water into wine,The Wedding at Cana
Rembrandt van Rijn,"Christ in the Storm on the Sea of Galilee, a 1633 oil-on-canvas painting by the Dutch Golden Age painter Rembrandt van Rijn",1633,176,"Shows Jesus calming a violent storm while disciples panic, demonstrating his divine power over nature.",June/jpgs/stormsea1633rembrandt.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f3/Rembrandt_Christ_in_the_Storm_on_the_Lake_of_Galilee.jpg,"Stolen in 1990, whereabouts unknown",Oil on canvas,The Proclamation of the Kingdom of God,Luminous,Christus in de storm op het meer van Galilea,nl,Dutch,Dutch Golden Age,Jesus calming the storm on Galilee,The Storm on the Sea of Galilee
Theophanes the Greek,The Savior's Transfiguration by Theophanes the Greek,c. 1403,177,"Shows Jesus transfigured in divine light between Moses and Elijah, witnessed by Peter, James, and John.",June/jpgs/transfiguration.jpg,https://classicaliconography.org/wp-content/uploads/2023/08/Transfiguration_by_Feofan_Grek_from_Spaso-Preobrazhensky_Cathedral_in_Pereslavl-Zalessky_15th_c_Tretyakov_gallery-e1691500465284.jpeg,"Tretyakov Gallery, Moscow",Fresco,The Transfiguration,Luminous,Преображение,ru,Russian,Byzantine,Christ's transfiguration on Mount Tabor,The Transfiguration
Henry Ossawa Tanner,Christ and the Disciples Before the Last Supper by Henry Ossawa Tanner,c. 1912-1914,178,"Tanner's intimate depiction shows Jesus preparing his disciples for the institution of the Eucharist, emphasizing spiritual preparation rather than the meal itself.",June/jpgs/christdiscipleshenrytanner.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Christ_and_the_Disciples_Before_the_Last_Supper_by_Henry_Ossawa_Tanner.jpg,"Pennsylvania Academy of the Fine Arts, Philadelphia",Oil on canvas,The Institution of the Eucharist,Luminous,,,,American Realism,Jesus preparing his disciples for the Last Supper,Christ and the Disciples Before the Last Supper
Giotto di Bondone,The Arrest of Christ Kiss of Judas by Giotto,c. 1304-1306,179,"Giotto's revolutionary fresco captures Judas's betrayal through a kiss, with emotional intensity and dramatic composition that broke from Byzantine tradition.",June/jpgs/arrestofchristgiotto.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Giotto_-_Scrovegni_-_-31-_-_Kiss_of_Judas.jpg,"Scrovegni Chapel, Padua, Italy",Fresco,The Agony in the Garden,Sorrowful,Bacio di Giuda,it,Italian,Proto-Renaissance,Judas betraying Jesus with a kiss,The Arrest of Christ (Kiss of Judas)
William-Adolphe Bouguereau,The Flagellation of Our Lord Jesus Christ by Bouguereau,1880,180,"Bouguereau's depiction shows Christ enduring the brutal scourging with serene dignity, emphasizing his sacrificial suffering through precise anatomical rendering.",June/jpgs/flagellationbouguereau.jpg,https://upload.wikimedia.org/wikipedia/commons/5/56/William-Adolphe_Bouguereau_%281825-1905%29_-_The_Flagellation_of_Our_Lord_Jesus_Christ_%281880%29.jpg,"Cathedral of La Rochelle, France",Oil on canvas,The Scourging at the Pillar,Sorrowful,La Flagellation de Notre-Seigneur Jésus-Christ,fr,French,Academic Art,Christ being scourged at the pillar,The Flagellation of Our Lord Jesus Christ
Anthony van Dyck,"Van Dyck's _The Crowning with Thorns_ (early 17th century), a Baroque depiction of Christ's suffering and paradoxical triumph",c. 1618-1620,181,"Van Dyck's Baroque masterpiece depicts Christ's coronation with thorns as a paradoxical triumph, showing dignity amidst suffering through dramatic lighting.",June/jpgs/crowningthornsvandyck17th.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Anthonis_van_Dyck_004.jpg/960px-Anthonis_van_Dyck_004.jpg,"Museo del Prado, Madrid",Oil on canvas,The Crowning with Thorns,Sorrowful,De doornenkroning,nl,Dutch,Baroque,Roman soldiers mocking Jesus with a crown of thorns,The Crowning with Thorns
Raphael,"Raphael's Christ Falls on the Way to Calvary, a painting depicting Christ stumbling under the cross with Mary and a crowd witnessing",c. 1515-1516,182,"Raphael depicts Christ's third fall with Mary witnessing, combining dramatic emotion with classical harmony and balanced composition.",July/jpgs/christfallswaycalvaryraphael.jpg,https://upload.wikimedia.org/wikipedia/commons/4/44/Raffaello_Sanzio_-_Christ_Falls_on_the_Way_to_Calvary_-_WGA18828.jpg,"Museo del Prado, Madrid",Oil on panel,The Carrying of the Cross,Sorrowful,Cristo cade sotto la croce,it,Italian,High Renaissance,Christ's third fall under the weight of the cross,Christ Falls on the Way to Calvary
Peter Paul Rubens,"The Descent from the Cross (1616-1617) by Rubens: A dynamic, dramatic depiction of Christ's descent",1616-1617,183,Rubens' Baroque masterpiece shows the dramatic moment of Christ's descent with dynamic composition and emotional intensity.,July/jpgs/descentrubens1617.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0f/Peter_Paul_Rubens_-_Descent_from_the_cross_%281617%29.jpg,"Cathedral of Our Lady, Antwerp",Oil on panel,The Crucifixion,Sorrowful,Kruisafneming,nl,Dutch,Baroque,The lowering of Christ's body from the cross,The Descent from the Cross
Annibale Carracci,"The Three Marys at the Tomb by Annibale Carracci, 17th century at Hermitage Museum, reveals Baroque vividness and drama",c. 1590,184,"Carracci depicts the moment of resurrection discovery with dramatic lighting and emotional intensity, capturing the women's awe and wonder.",July/jpgs/holywomencarracci.jpg,https://upload.wikimedia.org/wikipedia/commons/8/83/Annibale_Carracci_-_Holy_Women_at_Christ%27_s_Tomb_-_WGA4454.jpg,"State Hermitage Museum, Saint Petersburg",Oil on canvas,The Resurrection,Glorious,Le Marie al Sepolcro,it,Italian,Baroque,The three Marys discovering the empty tomb of Christ,Holy Women at Christ's Tomb
Duccio di Buoninsegna,"Christ Taking Leave of the Apostles by Duccio, 14th century, Museo dell'Opera, tempera on wood, Gothic details",1308-1311,185,"Duccio's Gothic masterpiece shows Christ commissioning his apostles before ascension, featuring gold background and Byzantine influence.",July/jpgs/appearancemountainduccio.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e1/Duccio_di_Buoninsegna_-_Appearance_on_the_Mountain_in_Galilee_-_WGA06737.jpg,"Museo dell'Opera del Duomo, Siena",Tempera on wood,The Ascension,Glorious,Apparizione sul Monte della Galilea,it,Italian,Gothic,Christ's post-resurrection appearance and commissioning of apostles,Appearance on the Mountain in Galilee
Simone Peterzano,Simone Peterzano's Pentecost depicts the Virgin and disciples receiving the Holy Spirit in Mannerist style,c. 1575-1580,186,Peterzano's Mannerist interpretation shows dramatic spiritual transformation with elongated figures and vibrant color contrasts.,July/jpgs/pentecostsimonepeterzano.jpg,https://images-cdn.bridgemanimages.com/api/1.0/image/600wm.XXX.12926920.7055475/2959742.jpg,"Church of San Fedele, Milan",Oil on canvas,The Descent of the Holy Spirit,Glorious,Pentecoste,it,Italian,Mannerism,The descent of the Holy Spirit upon the apostles and Mary,Pentecost
Unknown,The Divine Exchange Between Mother and Son,13th-15th century,187,"Gothic stained glass window depicting Mary's assumption into heaven, symbolizing her special role in salvation history.",July/jpgs/cathedralburgos.jpg,https://c8.alamy.com/comp/PR002K/stained-glass-window-depicting-the-assumption-of-mary-in-the-cathedral-of-burgos-castille-spain-PR002K.jpg,"Burgos Cathedral, Spain",Stained glass,The Assumption of Mary,Glorious,Asunción de la Virgen,es,Spanish,Gothic,The bodily assumption of Mary into heaven,The Assumption of Mary
Giuseppe Rollini,"Mary, Help of Christians by Giuseppe Rollini",,188,"Baroque-style fresco depicting Mary as protectress of Christians, holding the Child Jesus while extending her mantle in a gesture of maternal protection and intercession.",July/jpgs/maryhelpofchristiansrolini.jpg,https://c8.alamy.com/comp/JBNNMG/turin-italy-march-15-2017-the-detail-of-fresco-mary-help-of-christians-JBNNMG.jpg,"Turin, Italy",Fresco,The Coronation of Mary,Glorious,Maria Ausiliatrice dei Cristiani,it,Italian,Baroque Revival,Virgin Mary as protector and intercessor for Christians,"Mary, Help of Christians"
